# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
$\beta$ Cir b,Confirmed,56,7,7,,,,,,,,,,6656,,,,,,,,,,2015,2015-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,beta Cir,229.379166677,-58.801111128,,,,,,30.56,0.18,0.18,,,,1.96,0.001,0.003,,,,A3V,0.367,,,8676,33,33,,,
$\beta$ Pic b,Confirmed,11,3.2,2.8,,,,1.65,0.06,0.06,10921,1170,1060,9,0.9,0.9,0.24,0.06,0.06,88.87,0.08,0.08,0.440415,2008,2019-01-02,189.3,3,3,2456380,60,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,"H, N",beta Pic,86.8208333,-51.0663889,3.86,,,,,19.3,0.2,0.2,,,,1.73,0.05,0.05,,,,A6V,0.04,0.004,0.004,,,,Imaging,,
$\eta$ Tel B,Confirmed,35,15,15,,,,,,,,,,200,,,,,,,,,,2000,2016-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 7329,290.712500017,-54.423888903,5,,,,,48,,,,,,,,,,,,A0V,0.03,0.03,0,,,,,,
$\kappa$ And b,Confirmed,13,2,12,,,,1.2,0.1,0.2,589,215,826,99,46,127,0.69,0.1,0.14,121,10,10,,2013,2018-10-24,129.5,35,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,,,4.5,Published in a refereed paper,Imaging,Spectrum,,,H2O,kappa And,355.1042,44.3339,4.14,0.2,4.6,,,50,0.1,0.1,-0.36,0.09,0.09,2.8,0.2,0.1,2.29,0.06,0.06,B9IV,0.047,0.04,0.027,1127,44,421,,,"HD 222439, HR 8976, HIP 116805, 19 Andromedae"
11 Oph b,Confirmed,21,3,3,,,,,,,730000,365000,365000,243,55,55,,,,,,,1.675862,2007,2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,Oph 1622-2405 b,,11 Oph,245.6041667,-24.0872222,,,,,14.03,145,20,20,,,,0.0162,0.005,0.005,,,,M9,0.011,0.002,0.002,2375,175,175,,,"Oph 11A, Oph 1622-2405"
1RXS 1609 b,Confirmed,14,3,2,,,,1.7,,,,,,330,0,0,,,,,,,2.275862,2008,2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,4,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145,20,20,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060,200,200,,,"1RXS J160929, 1RXS J1609, 1RXS1609"
1RXS J235133.3+312720 b,Confirmed,32,6,6,,,,,,,,,,120,20,20,,,,,,,,2012,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720,357.890308282,31.4563946913,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,0.1,0.05,0.05,,,,,,2MASS J23513366+3127229
2M 0103-55 (AB) b,Confirmed,13,1,1,,,,,,,,,,84,,,,,,,,,,2013,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,
2M 0122-24 b,Confirmed,20,7,7,,,,1,0.2,0.2,,,,52,6,6,,,,,,,,2013,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,,,,,,Published in a refereed paper,Imaging,,,,,2M 0122-24,20.7125,-24.6142,,,,,,36,4,4,,,,0.4,0.05,0.05,,,,M3.5,0.12,0.01,0.01,,,,,,
2M 0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156,10,10,,,,,,,,2015,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.841666674,-39.423055569,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064,76,76,,,2MASS J0292210-3925225
